time_s,bpf_hz,rpm,bpf_hz_smooth,rpm_smooth
64.0,62.5,1250.0,54.6875,1093.75
64.128,52.734375,1054.6875,54.6875,1093.75
64.256,54.6875,1093.75,62.5,1250.0
64.384,74.21875,1484.375,62.5,1250.0
64.512,64.453125,1289.0625,54.6875,1093.75
64.64,68.359375,1367.1875,54.6875,1093.75
64.768,54.6875,1093.75,54.6875,1093.75
64.896,54.6875,1093.75,54.6875,1093.75
65.024,52.734375,1054.6875,54.6875,1093.75
65.152,52.734375,1054.6875,54.6875,1093.75
65.28,54.6875,1093.75,54.6875,1093.75
65.408,70.3125,1406.25,54.6875,1093.75
65.536,64.453125,1289.0625,60.546875,1210.9375
65.664,50.78125,1015.625,62.5,1250.0
65.792,60.546875,1210.9375,62.5,1250.0
65.92,62.5,1250.0,60.546875,1210.9375
66.048,62.5,1250.0,54.6875,1093.75
66.176,54.6875,1093.75,56.640625,1132.8125
66.304,52.734375,1054.6875,56.640625,1132.8125
66.432,54.6875,1093.75,54.6875,1093.75
66.56,56.640625,1132.8125,54.6875,1093.75
66.688,56.640625,1132.8125,54.6875,1093.75
66.816,54.6875,1093.75,56.640625,1132.8125
66.944,54.6875,1093.75,56.640625,1132.8125
67.072,66.40625,1328.125,56.640625,1132.8125
67.2,68.359375,1367.1875,54.6875,1093.75
67.328,66.40625,1328.125,54.6875,1093.75
67.456,54.6875,1093.75,54.6875,1093.75
67.584,52.734375,1054.6875,52.734375,1054.6875
67.712,50.78125,1015.625,52.734375,1054.6875
67.84,50.78125,1015.625,52.734375,1054.6875
67.968,52.734375,1054.6875,52.734375,1054.6875
68.096,54.6875,1093.75,52.734375,1054.6875
68.224,64.453125,1289.0625,54.6875,1093.75
68.352,50.78125,1015.625,54.6875,1093.75
68.48,54.6875,1093.75,54.6875,1093.75
68.608,54.6875,1093.75,54.6875,1093.75
68.736,70.3125,1406.25,54.6875,1093.75
68.864,52.734375,1054.6875,54.6875,1093.75
68.992,54.6875,1093.75,54.6875,1093.75
69.12,54.6875,1093.75,56.640625,1132.8125
69.248,56.640625,1132.8125,56.640625,1132.8125
69.376,66.40625,1328.125,56.640625,1132.8125
69.504,62.5,1250.0,58.59375,1171.875
69.632,66.40625,1328.125,58.59375,1171.875
69.76,50.78125,1015.625,62.5,1250.0
69.888,58.59375,1171.875,62.5,1250.0
70.016,50.78125,1015.625,64.453125,1289.0625
70.144,64.453125,1289.0625,64.453125,1289.0625
70.272,64.453125,1289.0625,64.453125,1289.0625
70.4,66.40625,1328.125,64.453125,1289.0625
70.528,66.40625,1328.125,64.453125,1289.0625
70.656,52.734375,1054.6875,56.640625,1132.8125
